id,total_votes,missed_votes,percent,percentile,first_vote_date,last_vote_date
412506,54,1,1.85185185185,35.7303370787,2012-11-15,2013-01-01
400345,8568,157,1.83239962652,35.5056179775,2001-01-03,2013-01-01
412305,3261,59,1.80926096289,35.2808988764,2009-01-06,2013-01-01
412444,1606,29,1.80572851806,34.606741573,2011-01-05,2013-01-01
412470,1606,29,1.80572851806,34.606741573,2011-01-05,2013-01-01
412476,1606,29,1.80572851806,34.606741573,2011-01-05,2013-01-01
412250,5137,92,1.79092855752,34.3820224719,2007-01-04,2013-01-01
400058,14363,257,1.78931977999,34.1573033708,1991-01-03,2013-01-01
412293,3261,58,1.77859552285,33.9325842697,2009-01-06,2013-01-01
400310,14074,249,1.769219838,33.7078651685,1991-10-03,2013-01-01
412205,5137,90,1.75199532801,33.4831460674,2007-01-04,2013-01-01
412282,3261,57,1.7479300828,33.2584269663,2009-01-06,2013-01-01
400626,6351,111,1.74775625886,33.0337078652,2005-01-04,2013-01-01
412420,1606,28,1.74346201743,32.5842696629,2011-01-05,2013-01-01
412488,1606,28,1.74346201743,32.5842696629,2011-01-05,2013-01-01
400657,6351,110,1.73201070698,32.3595505618,2005-01-04,2013-01-01
400364,13431,229,1.70501079592,32.1348314607,1993-01-05,2013-01-01
412191,5137,87,1.69359548375,31.9101123596,2007-01-04,2013-01-01
400411,7572,126,1.66402535658,31.6853932584,2003-01-07,2013-01-01
400141,7572,125,1.65081880613,31.4606741573,2003-01-07,2013-01-01
400013,9782,161,1.6458801881,31.2359550562,1999-01-06,2013-01-01
400145,7572,124,1.63761225568,31.0112359551,2003-01-07,2013-01-01
412437,1606,26,1.61892901619,30.1123595506,2011-01-05,2013-01-01
412451,1606,26,1.61892901619,30.1123595506,2011-01-05,2013-01-01
412481,1606,26,1.61892901619,30.1123595506,2011-01-05,2013-01-01
412485,1606,26,1.61892901619,30.1123595506,2011-01-05,2013-01-01
400365,20084,322,1.60326628162,29.8876404494,1979-01-15,2013-01-01
400273,13431,215,1.60077432805,29.6629213483,1993-01-05,2013-01-01
400341,7572,119,1.57157950343,29.4382022472,2003-01-07,2013-01-01
400230,8568,133,1.5522875817,29.2134831461,2001-01-03,2013-01-01
400280,7572,117,1.54516640254,28.9887640449,2003-01-07,2013-01-01
400419,9782,151,1.54365160499,28.7640449438,1999-01-06,2013-01-01
412287,3261,50,1.53327200245,28.5393258427,2009-01-06,2013-01-01
400263,10969,167,1.52247242228,28.3146067416,1997-01-07,2013-01-01
400193,10357,156,1.50622767211,28.0898876404,1993-01-05,2012-03-19
412406,1606,24,1.49439601494,27.191011236,2011-01-05,2013-01-01
412469,1606,24,1.49439601494,27.191011236,2011-01-05,2013-01-01
412484,1606,24,1.49439601494,27.191011236,2011-01-05,2013-01-01
412489,1606,24,1.49439601494,27.191011236,2011-01-05,2013-01-01
400019,8778,131,1.49236728184,26.9662921348,1995-01-04,2013-01-01
400326,14864,217,1.45990312164,26.7415730337,1987-01-06,2013-01-01
412213,3482,49,1.40723721999,26.5168539326,2007-01-04,2013-01-01
400097,8568,120,1.40056022409,26.2921348315,2001-01-03,2013-01-01
400388,15267,213,1.39516604441,26.0674157303,1989-01-03,2013-01-01
400175,7572,105,1.38668779715,25.8426966292,2003-01-07,2013-01-01
412410,1606,22,1.3698630137,25.1685393258,2011-01-05,2013-01-01
412411,1606,22,1.3698630137,25.1685393258,2011-01-05,2013-01-01
412479,1606,22,1.3698630137,25.1685393258,2011-01-05,2013-01-01
412255,3976,54,1.35814889336,24.9438202247,2007-12-13,2013-01-01
400628,6351,86,1.35411746182,24.7191011236,2005-01-04,2013-01-01
